	B	78	Nesselwängle	Austria	Liftgesellschaft Nesselwängle		ski_resort	Nesselwängle 92	+4356758250								overture:c68aea4a-ccbf-4668-b939-b8862410acf7	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.lifte-nesselwaengle.at	office@lifte-nesselwaengle.at									Medium	Recall-first	https://explore.overturemaps.org/#id=c68aea4a-ccbf-4668-b939-b8862410acf7	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:c68aea4a-ccbf-4668-b939-b8862410acf7	lifte-nesselwaengle.at	4356758250	liftgesellschaft nesselwangle	Nesselwängle	Austria	MEDIUM	domain:lifte-nesselwaengle.at
	B	78	Chamonix-Mont-Blanc	France	La Plagne Bellecôte		ski_resort	Les Glaciers, 424 Route des Gaillands	+33676582775								overture:304df7c3-6189-4c0e-9cdc-08746359c251	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.lesglaciers3.fr/	andre@lesglaciers3.fr									Medium	Recall-first	https://explore.overturemaps.org/#id=304df7c3-6189-4c0e-9cdc-08746359c251	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:304df7c3-6189-4c0e-9cdc-08746359c251	lesglaciers3.fr	33676582775	la plagne bellecote	Chamonix-Mont-Blanc	France	MEDIUM	domain:lesglaciers3.fr
	B	78	Kolasin	Montenegro	Ski Centar Kolasin 1450		ski_resort	Ski Centar Kolašin 1450	+38220863284								overture:094712fb-d596-4e57-bdc1-e7d4a2327271	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.kolasin1450.com/	office@kolasin1450.com									High	Verified	https://explore.overturemaps.org/#id=094712fb-d596-4e57-bdc1-e7d4a2327271	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:094712fb-d596-4e57-bdc1-e7d4a2327271	kolasin1450.com	38220863284	ski centar kolasin 1450	Kolasin	Montenegro	HIGH	domain:kolasin1450.com
	B	78	Reichenbach im Kandertal	Switzerland	Sportbahnen Kiental-Ramslauenen AG		ski_resort	Lengschwendistrasse 6	+41336761115								overture:d16094c6-0335-4d18-8a80-d07a8bd9e7ab	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.kiental-sesselbahn.ch/	info@kiental-sesselbahn.ch									Medium	Recall-first	https://explore.overturemaps.org/#id=d16094c6-0335-4d18-8a80-d07a8bd9e7ab	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:d16094c6-0335-4d18-8a80-d07a8bd9e7ab	kiental-sesselbahn.ch	41336761115	sportbahnen kiental ramslauenen ag	Reichenbach im Kandertal	Switzerland	MEDIUM	domain:kiental-sesselbahn.ch
	B	78	Krems in Kärnten	Austria	Innerkrems		ski_resort	Innerkrems 134	+434736600								overture:498e7c62-444a-4cac-9f2f-2aa96064e9c4	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.innerkrems.at	office@innerkrems.at									High	Verified	https://explore.overturemaps.org/#id=498e7c62-444a-4cac-9f2f-2aa96064e9c4	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:498e7c62-444a-4cac-9f2f-2aa96064e9c4	innerkrems.at	434736600	innerkrems	Krems in Kärnten	Austria	HIGH	domain:innerkrems.at
	B	78	Gavardo	Italy	Boutique Hotel Villa dei Campi		hotel	Località Limone, 38	+390365374548								overture:27480583-b3e6-4306-9751-70be9a0c4c37	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelvilladeicampi.com/	info@hotelvilladeicampi.com									High	Verified	https://explore.overturemaps.org/#id=27480583-b3e6-4306-9751-70be9a0c4c37	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:27480583-b3e6-4306-9751-70be9a0c4c37	hotelvilladeicampi.com	390365374548	boutique hotel villa dei campi	Gavardo	Italy	HIGH	domain:hotelvilladeicampi.com
	B	78	Chartres	France	Residences de Chartres		hotel	4 rue du Frou	02 37 36 26 45								overture:3ae79362-8fcc-4439-8410-fa0509e588ed	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotels-chartres.fr	residencesdechartres@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=3ae79362-8fcc-4439-8410-fa0509e588ed	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:3ae79362-8fcc-4439-8410-fa0509e588ed	hotels-chartres.fr	0237362645	residences de chartres	Chartres	France	MEDIUM	domain:hotels-chartres.fr
	B	78	Artà	Spain	Nema Boutique Hotel & Spa		hotel	Costa de Sant Salvador, 6	+34971046892								overture:9bd776db-ab1e-4315-ac35-2a0551cc85a1	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelnema.com/	info@hotelnema.com									Medium	Recall-first	https://explore.overturemaps.org/#id=9bd776db-ab1e-4315-ac35-2a0551cc85a1	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:9bd776db-ab1e-4315-ac35-2a0551cc85a1	hotelnema.com	34971046892	nema boutique hotel spa	Artà	Spain	MEDIUM	domain:hotelnema.com
	B	78	Lloret de Mar	Spain	Bonsol Lloret		hotel	Avinguda de la Vila de Tossa, 87	+34972963861								overture:c5d6f436-f96b-44dc-aa3e-18d325691c77	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelbonsol.com/	info@hotelbonsol.com									High	Verified	https://explore.overturemaps.org/#id=c5d6f436-f96b-44dc-aa3e-18d325691c77	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:c5d6f436-f96b-44dc-aa3e-18d325691c77	hotelbonsol.com	34972963861	bonsol lloret	Lloret de Mar	Spain	HIGH	domain:hotelbonsol.com
	B	78	Corunca	Romania	Hotel Restaurant Alesia		hotel	Șoseaua Sighisoarei 411	+40775339663								overture:84edb685-e66b-41a0-ab67-c22061ac9a26	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelalesia.ro/	alesiahotel@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=84edb685-e66b-41a0-ab67-c22061ac9a26	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:84edb685-e66b-41a0-ab67-c22061ac9a26	hotelalesia.ro	40775339663	hotel restaurant alesia	Corunca	Romania	MEDIUM	domain:hotelalesia.ro
	B	78	Campo Tures	Italy	Hotel Mirabell		hotel	Via Hugo von Taufers, 44	+390474678091								overture:345af4f8-b67c-44e0-b9fe-ff89312f197e	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotel-mirabell.com	info@hotel-mirabell.com									Medium	Recall-first	https://explore.overturemaps.org/#id=345af4f8-b67c-44e0-b9fe-ff89312f197e	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:345af4f8-b67c-44e0-b9fe-ff89312f197e	hotel-mirabell.com	390474678091	hotel mirabell	Campo Tures	Italy	MEDIUM	domain:hotel-mirabell.com
	B	78	Bardonecchia	Italy	La Pigna Hotel Bar		ski_resort	Frazione Melezet 119	348 052 5741								overture:1f632cc9-c999-4f00-8616-364b6ad54e30	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotel-lapigna.it	info@hotel-lapigna.it									Medium	Recall-first	https://explore.overturemaps.org/#id=1f632cc9-c999-4f00-8616-364b6ad54e30	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:1f632cc9-c999-4f00-8616-364b6ad54e30	hotel-lapigna.it	3480525741	la pigna hotel bar	Bardonecchia	Italy	MEDIUM	domain:hotel-lapigna.it
	B	78	Unken	Austria	Skigebiet Unken Heutal		ski_resort	Gföll 91	+43658820404								overture:be140749-1451-417d-a996-ffa1ce86ffbe	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.heutal.com/	info@heutal.com									High	Verified	https://explore.overturemaps.org/#id=be140749-1451-417d-a996-ffa1ce86ffbe	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:be140749-1451-417d-a996-ffa1ce86ffbe	heutal.com	43658820404	skigebiet unken heutal	Unken	Austria	HIGH	domain:heutal.com
	B	78	Unken	Austria	Heutal		ski_resort	Gföll 233	+43658920055								overture:3fc1bbe0-c430-4bbe-87ed-00b2398bea47	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.heutal-lift.at	info@heutal-lift.at									High	Verified	https://explore.overturemaps.org/#id=3fc1bbe0-c430-4bbe-87ed-00b2398bea47	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:3fc1bbe0-c430-4bbe-87ed-00b2398bea47	heutal-lift.at	43658920055	heutal	Unken	Austria	HIGH	domain:heutal-lift.at
	B	78	Reichenau	Austria	Heidi Alm Falkert		ski_resort		+43427572220								overture:3b501c21-ec29-4f43-9c44-2a8c86f474fd	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.heidialm.at/	info@heidialm.at									Medium	Recall-first	https://explore.overturemaps.org/#id=3b501c21-ec29-4f43-9c44-2a8c86f474fd	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:3b501c21-ec29-4f43-9c44-2a8c86f474fd	heidialm.at	43427572220	heidi alm falkert	Reichenau	Austria	MEDIUM	domain:heidialm.at
	B	78	Ofterschwang	Germany	Bergbahnen Ofterschwang Gunzesried		ski_resort	Panoramaweg 7	+49832167030								overture:32139323-f139-4c8e-ba7b-030f85e400a7	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.go-ofterschwang.de/	info@go-ofterschwang.de									Medium	Recall-first	https://explore.overturemaps.org/#id=32139323-f139-4c8e-ba7b-030f85e400a7	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:32139323-f139-4c8e-ba7b-030f85e400a7	go-ofterschwang.de	49832167030	bergbahnen ofterschwang gunzesried	Ofterschwang	Germany	MEDIUM	domain:go-ofterschwang.de
	B	78	Seefeld in Tirol	Austria	Geigenbühel Skilift		ski_resort	Geigenbühelstraße 509	+4366473620013								overture:1736a4e0-ae01-40dd-98cc-ed231cea0e7a	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.geigenbuehel.at/	info@geigenbuehel.at									Medium	Recall-first	https://explore.overturemaps.org/#id=1736a4e0-ae01-40dd-98cc-ed231cea0e7a	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:1736a4e0-ae01-40dd-98cc-ed231cea0e7a	geigenbuehel.at	4366473620013	geigenbuhel skilift	Seefeld in Tirol	Austria	MEDIUM	domain:geigenbuehel.at
	B	78	Kappl	Austria	Apart Garni Mirabell		ski_resort	Nederle 488	04354 456149								overture:b794cd2a-a79e-4a2c-9e42-6816dd13dbc8	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.garni-mirabell.at	info@garni-mirabell.at									Medium	Recall-first	https://explore.overturemaps.org/#id=b794cd2a-a79e-4a2c-9e42-6816dd13dbc8	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:b794cd2a-a79e-4a2c-9e42-6816dd13dbc8	garni-mirabell.at	04354456149	apart garni mirabell	Kappl	Austria	MEDIUM	domain:garni-mirabell.at
	B	78	Selva di Val Gardena	Italy	Residence Villa Funtanes		hotel	Strada Dantercëpies, 71	+39335243949								overture:8a1ecf32-d089-40bd-835b-58ac71b935ee	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.funtanes.com/	info@funtanes.com									Medium	Recall-first	https://explore.overturemaps.org/#id=8a1ecf32-d089-40bd-835b-58ac71b935ee	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:8a1ecf32-d089-40bd-835b-58ac71b935ee	funtanes.com	39335243949	residence villa funtanes	Selva di Val Gardena	Italy	MEDIUM	domain:funtanes.com
	B	78	Matera	Italy	Fiorentini 22 - Luxury stay & spa		hotel	Via Fiorentini, 22	+393476718962								overture:be4c7e20-9882-469b-a694-1e50bb5cf0f3	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.fiorentini22.it/	viafiorentini22@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=be4c7e20-9882-469b-a694-1e50bb5cf0f3	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:be4c7e20-9882-469b-a694-1e50bb5cf0f3	fiorentini22.it	393476718962	fiorentini 22 luxury stay spa	Matera	Italy	MEDIUM	domain:fiorentini22.it
	B	78	Moaña	Spain	El Chalet de Domaio		resort	O Calvar, 29C	+34666666666								overture:89719f0c-bd67-4c7d-9c69-c15ee033b27a	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.elchaletdedomaio.es/	info@elchaletdedomaio.es									Medium	Recall-first	https://explore.overturemaps.org/#id=89719f0c-bd67-4c7d-9c69-c15ee033b27a	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:89719f0c-bd67-4c7d-9c69-c15ee033b27a	elchaletdedomaio.es	34666666666	el chalet de domaio	Moaña	Spain	MEDIUM	domain:elchaletdedomaio.es
	B	78	l'Eliana	Spain	El Oasis Villas Resort		holiday_rental_home	Carrer de l'Oasi, 1	+34962750461								overture:b64483b0-7ac3-424e-af00-efc401a5eea2	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.el-oasis.com/	el-oasis@el-oasis.com									High	Verified	https://explore.overturemaps.org/#id=b64483b0-7ac3-424e-af00-efc401a5eea2	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:b64483b0-7ac3-424e-af00-efc401a5eea2	el-oasis.com	34962750461	el oasis villas resort	l'Eliana	Spain	HIGH	domain:el-oasis.com
	B	78	Djerba	Tunisia	Location Villas Eden Resort Luxe Djerba		holiday_rental_home		+21670026599								overture:c212d2df-e7a9-4434-baac-672b536a3ad8	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.djerbaluxe.com/	contact@djerbaluxe.com									High	Verified	https://explore.overturemaps.org/#id=c212d2df-e7a9-4434-baac-672b536a3ad8	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:c212d2df-e7a9-4434-baac-672b536a3ad8	djerbaluxe.com	21670026599	location villas eden resort luxe djerba	Djerba	Tunisia	HIGH	domain:djerbaluxe.com
	B	78	Tujetsch	Switzerland	Disentis Sedrun		ski_resort	Via Alpsu 64a	+41819204030								overture:d2baa415-8a64-4bcc-82f3-68533169448e	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.disentis-sedrun.ch/	info@disentis-sedrun.ch									High	Verified	https://explore.overturemaps.org/#id=d2baa415-8a64-4bcc-82f3-68533169448e	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:d2baa415-8a64-4bcc-82f3-68533169448e	disentis-sedrun.ch	41819204030	disentis sedrun	Tujetsch	Switzerland	HIGH	domain:disentis-sedrun.ch
	B	78	Schoppernau	Austria	Diedamspark		ski_resort	Halde 300	+4343551541100								overture:681c8583-faec-45fa-9c81-81a14c39540c	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.diedamskopf.at/de/diedamspark.html	info@diedamskopf.at									Medium	Recall-first	https://explore.overturemaps.org/#id=681c8583-faec-45fa-9c81-81a14c39540c	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:681c8583-faec-45fa-9c81-81a14c39540c	diedamskopf.at	4343551541100	diedamspark	Schoppernau	Austria	MEDIUM	domain:diedamskopf.at
	B	78	Bad Füssing	Germany	DIANA Boutiquehotel		hotel	Kurallee 12	+49853129060								overture:3007589f-a1cf-40fa-a57e-8183bc90e868	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.diana-hotel.de/	info@diana-hotel.de									Medium	Recall-first	https://explore.overturemaps.org/#id=3007589f-a1cf-40fa-a57e-8183bc90e868	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:3007589f-a1cf-40fa-a57e-8183bc90e868	diana-hotel.de	49853129060	diana boutiquehotel	Bad Füssing	Germany	MEDIUM	domain:diana-hotel.de
	B	78	Bafra	Cyprus	Concorde Luxury Resort Kibris		hotel	Parsel 12	+903926300000								overture:4fad8d83-e4b0-45eb-b599-314ccad92245	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.concordehotels.com/	clr.info@concordehotels.com									High	Verified	https://explore.overturemaps.org/#id=4fad8d83-e4b0-45eb-b599-314ccad92245	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:4fad8d83-e4b0-45eb-b599-314ccad92245	concordehotels.com	903926300000	concorde luxury resort kibris	Bafra	Cyprus	HIGH	domain:concordehotels.com
	B	78	Château-Bernard	France	Station du Col de l'Arzelier		ski_resort	Lieu-dit Col de l'Arzelier	+33476722125								overture:ac235714-233c-4981-a5d9-d2b94bd2a6e8	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.col-de-larzelier.fr/	contact@col-de-larzelier.fr									High	Verified	https://explore.overturemaps.org/#id=ac235714-233c-4981-a5d9-d2b94bd2a6e8	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:ac235714-233c-4981-a5d9-d2b94bd2a6e8	col-de-larzelier.fr	33476722125	station du col de l arzelier	Château-Bernard	France	HIGH	domain:col-de-larzelier.fr
	B	78	Dukla	Poland	Chyrowa-Ski		ski_resort	Chyrowa 40	+48603871300								overture:affdf409-5890-4ec5-907a-45690559dfe1	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.chyrowaski.pl/	info@chyrowaski.pl									Medium	Recall-first	https://explore.overturemaps.org/#id=affdf409-5890-4ec5-907a-45690559dfe1	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:affdf409-5890-4ec5-907a-45690559dfe1	chyrowaski.pl	48603871300	chyrowa ski	Dukla	Poland	MEDIUM	domain:chyrowaski.pl
	B	78	Courchevel	France	La Tania Ski Chalets		hotel	Route de la Tania									overture:c69ca6cc-7b97-4887-af74-e466016318d9	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.chaletdameblanche.com/	chaletdameblanche@gmail.com		https://www.instagram.com/latania_ski_chalets/							High	Verified	https://explore.overturemaps.org/#id=c69ca6cc-7b97-4887-af74-e466016318d9; https://www.lataniaskichalets.com/	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:c69ca6cc-7b97-4887-af74-e466016318d9	chaletdameblanche.com		la tania ski chalets	Courchevel	France	HIGH	domain:chaletdameblanche.com
	B	78	Cavallino-Treporti	Italy	Europa Camping Village		resort	Via Fausta 332	394 196 8069								overture:1c28d5f8-8c92-492c-a6c3-99da7e8ed782	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.campingeuropa.com	info@campingeuropa.com									High	Verified	https://explore.overturemaps.org/#id=1c28d5f8-8c92-492c-a6c3-99da7e8ed782	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:1c28d5f8-8c92-492c-a6c3-99da7e8ed782	campingeuropa.com	3941968069	europa camping village	Cavallino-Treporti	Italy	HIGH	domain:campingeuropa.com
	B	78	Gerlosberg	Austria	Blockhaus Bergkristal		ski_resort	Gerlosberg 27c	04352 8251038								overture:be3017e4-4b9f-49fd-a88a-65bf9e0eda03	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.blockhaus-bergkristall.at	info@blockhaus-bergkristall.at									Medium	Recall-first	https://explore.overturemaps.org/#id=be3017e4-4b9f-49fd-a88a-65bf9e0eda03	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:be3017e4-4b9f-49fd-a88a-65bf9e0eda03	blockhaus-bergkristall.at	043528251038	blockhaus bergkristal	Gerlosberg	Austria	MEDIUM	domain:blockhaus-bergkristall.at
	B	78	Mellau	Austria	Bergbahnen Mellau		ski_resort	Hinterbündt 380	+43551822220								overture:48a78698-346f-4697-81a3-e16d75ac09db	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.bergbahnenmellau.com	info@bergbahnenmellau.com									Medium	Recall-first	https://explore.overturemaps.org/#id=48a78698-346f-4697-81a3-e16d75ac09db	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:48a78698-346f-4697-81a3-e16d75ac09db	bergbahnenmellau.com	43551822220	bergbahnen mellau	Mellau	Austria	MEDIUM	domain:bergbahnenmellau.com
	B	78	Sankt Johann in Tirol	Austria	St. Johanner Bergbahnen		ski_resort	Hornweg 21	+43535262293								overture:35b40359-4f22-4e07-ba3f-72fea0e27b7d	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.bergbahnen-stjohann.at	info@bergbahnen-stjohann.at									Medium	Recall-first	https://explore.overturemaps.org/#id=35b40359-4f22-4e07-ba3f-72fea0e27b7d	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:35b40359-4f22-4e07-ba3f-72fea0e27b7d	bergbahnen-stjohann.at	43535262293	st johanner bergbahnen	Sankt Johann in Tirol	Austria	MEDIUM	domain:bergbahnen-stjohann.at
	B	78	Kuşadası	Turkey	Batıhan Beach Resort & Spa		hotel	Batıhan Otel, Karaovaplajı Kümesi No:2	+902566100818								overture:a38b7d2e-9214-44e8-a10b-abe87ee24e6c	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.batihanbeachresort.com/	info@batihanbeachresort.com									High	Verified	https://explore.overturemaps.org/#id=a38b7d2e-9214-44e8-a10b-abe87ee24e6c	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:a38b7d2e-9214-44e8-a10b-abe87ee24e6c	batihanbeachresort.com	902566100818	bathan beach resort spa	Kuşadası	Turkey	HIGH	domain:batihanbeachresort.com
	B	78	Alanya	Turkey	Avena Resort & Spa Hotel		hotel	Avena Hotel Restaurant, Fatih Caddesi 20	+902425140304								overture:469b0175-f654-40cb-93da-24090e5ee63b	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.avenahotel.com/	info@avenahotel.com									High	Verified	https://explore.overturemaps.org/#id=469b0175-f654-40cb-93da-24090e5ee63b	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:469b0175-f654-40cb-93da-24090e5ee63b	avenahotel.com	902425140304	avena resort spa hotel	Alanya	Turkey	HIGH	domain:avenahotel.com
	B	78	Alcácer do Sal	Portugal	Comporta Villas & Suites		hotel	Brejos da Carregueira de Cima, 92	+351930619778								overture:7bceff05-55ce-4499-b270-f50fd9db73e8	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.amgi.pt/	booking@amgi.pt									High	Verified	https://explore.overturemaps.org/#id=7bceff05-55ce-4499-b270-f50fd9db73e8	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:7bceff05-55ce-4499-b270-f50fd9db73e8	amgi.pt	351930619778	comporta villas suites	Alcácer do Sal	Portugal	HIGH	domain:amgi.pt
	B	78	Altenmarkt im Pongau	Austria	Altenmarkt-Zauchensee		ski_resort	Sportplatzstraße 6	+4364525511								overture:f5569a30-dc70-4a4d-8f7c-e8583a93eace	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.altenmarkt-zauchensee.at/	info@altenmarkt-zauchensee.at									High	Verified	https://explore.overturemaps.org/#id=f5569a30-dc70-4a4d-8f7c-e8583a93eace	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:f5569a30-dc70-4a4d-8f7c-e8583a93eace	altenmarkt-zauchensee.at	4364525511	altenmarkt zauchensee	Altenmarkt im Pongau	Austria	HIGH	domain:altenmarkt-zauchensee.at
	B	78	Heidelberg	Germany	Boutique Suites and Residences Heidelberg - Alte Zigarrenmanufaktur		hotel	Römerstraße 80	+496221659369								overture:07d705c3-e4b7-4aff-a45a-884a986a62bc	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.alte-zigarrenmanufaktur.de/	kontakt@alte-zigarrenmanufaktur.de									High	Verified	https://explore.overturemaps.org/#id=07d705c3-e4b7-4aff-a45a-884a986a62bc	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:07d705c3-e4b7-4aff-a45a-884a986a62bc	alte-zigarrenmanufaktur.de	496221659369	boutique suites and residences heidelberg alte zigarrenmanufaktur	Heidelberg	Germany	HIGH	domain:alte-zigarrenmanufaktur.de
	B	78	Rottach-Egern	Germany	Alpen Plus Skipass Verbund		ski_resort	Wallbergstraße 26	+498034309644								overture:6c129295-6c2c-47a8-a32f-38cd0f84d5e9	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.alpenplus.com	info@alpenplus.com									Medium	Recall-first	https://explore.overturemaps.org/#id=6c129295-6c2c-47a8-a32f-38cd0f84d5e9	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:6c129295-6c2c-47a8-a32f-38cd0f84d5e9	alpenplus.com	498034309644	alpen plus skipass verbund	Rottach-Egern	Germany	MEDIUM	domain:alpenplus.com
	B	78	Falcade	Italy	Albergo Dolomiti Caverson Falcade		ski_resort	loc. caverson 1	+393480837511								overture:27e1b4c8-ba9a-435f-b19d-df9f81c322f0	2026-08-15T01:26:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.albergodolomiti.it/	info@albergodolomiti.it									Medium	Recall-first	https://explore.overturemaps.org/#id=27e1b4c8-ba9a-435f-b19d-df9f81c322f0	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:27e1b4c8-ba9a-435f-b19d-df9f81c322f0	albergodolomiti.it	393480837511	albergo dolomiti caverson falcade	Falcade	Italy	MEDIUM	domain:albergodolomiti.it
